"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J14";"USB_Micro-B_Molex-105017-0001";1;"USB_OTG";;;
2;"L4,L8,L9,L7,L6,L2,L1,L3";"L_0805";8;"Ferrite";;;
3;"U1";"LQFP-144_20x20mm_Pitch0.5mm";1;"LPC4330FBD144";;;
4;"C10,C39,C11,C19,C12,C2,C1,C3,C4,C6,C7,C8,C9,C5,C21,C40";"C_0603";16;"100nF";;;
5;"J12,J16,J9,J6,J10,J3,J2,J7,J5,J13,J15,J4";"modularctl2";12;"Conn_01x04";;;
6;"R38,R99,R98,R39,R96,R97,R21,R18,R6,R52,R22,R20,R3,R36,R37,R53,R54,R55,R8,R10,R13,R15,R68,R69,R80,R81,R109,R24";"R_0603";28;"10k";;;
7;"J19,J17,J18,J20";"Pin_Header_Straight_1x01_Pitch1.27mm";4;"GND";;;
8;"U2,U15";"SOT-223-3Lead_TabPin2";2;"LD1117S33TR_SOT223";;;
9;"C18,C27,C28,C31,C32,C22,C57,C63";"C_0805";8;"10uF";;;
10;"TP17,TP28,TP29,TP13,TP24,TP15,TP3,TP6,TP5,TP16,TP4,TP2,TP9,TP21,TP20,TP14,TP12,TP11,TP10,TP8,TP7,TP1,TP18,TP19,TP25,TP22,TP23,TP26,TP27,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41";"Measurement_Point_Round-SMD-Pad_Small";41;"TEST";;;
11;"U11,U5,U6,U7,U8,U9,U10,U12,U16";"SOIC-8_3.9x4.9mm_Pitch1.27mm";9;"TL972";;;
12;"R56,R57,R58,R59";"R_0603";4;"330R";;;
13;"R94,R92,R32,R34,R88,R90,R50,R48,R66,R64,R62,R60,R30,R28,R76,R78";"R_0603";16;"2k49";;;
14;"R103,R102,R42,R43,R100,R101,R40,R41,R70,R71,R72,R73,R74,R75,R82,R83,R49";"R_0603";17;"3k3";;;
15;"R107,R106,R47,R46,R104,R105,R45,R44,R84,R85,R86,R87";"R_0603";12;"100r";;;
16;"R33";"R_0603";1;"N.P.";;;
17;"C49,C50,C41,C42,C43,C44,C51,C52";"C_0603";8;"4.7nF";;;
18;"SW3";"SW_DIP_x6_W6.15mm_Slide_Omron_A6H";1;"SW_DIP_x06";;;
19;"J11,J8";"IDC_Header_Straight_12pins";2;"Conn_02x06_Odd_Even";;;
20;"R25,R23,R19,R4,R5,R2,R1";"R_0603";7;"18k";;;
21;"U13";"SO-8_5.3x6.2mm_Pitch1.27mm";1;"AT45DB161-E";;;
22;"L5";"R_0603";1;"Ferrite";;;
23;"D3,D4,D5";"LED_0805";3;"LED";;;
24;"J1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Debug UART";;;
25;"U3,U4";"LFCSP20";2;"SSM2604";;;
26;"C34,C36,C35,C33,C30,C29";"C_0603";6;"0.1uF";;;
27;"C38,C37";"C_0805";2;"4.7uF";;;
28;"Y2,Y3";"Crystal_SMD_Abracon_ABM3B-4pin_5.0x3.2mm";2;"Crystal_GND24";;;
29;"Y1";"Crystal_SMD_Abracon_ABM3B-4pin_5.0x3.2mm";1;"12MHz";;;
30;"C26,C25,C23,C24";"C_0603";4;"22pF";;;
31;"R17";"R_0603";1;"120r";;;
32;"R27,R26";"R_0603";2;"15k";;;
33;"C17,C16";"C_0603";2;"18pF";;;
34;"C14,C15";"C_0603";2;"10nF";;;
35;"C13";"C_0603";1;"1nF";;;
36;"D1,D2";"D_0805";2;"D";;;
37;"R7,R11,R14,R16";"R_0603";4;"NM";;;
38;"R108";"R_0603";1;"100k";;;
39;"U14";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"SN65HVD231";;;
40;"SW1,SW2";"SW_SPST_EVQPE1";2;"SW_Push";;;
41;"C59,C60,C61,C62";"C_0603";4;"N.P.";;;
42;"R35";"R_0603";1;"5k6";;;
